timestamp,mid_price,bid_price_1,ask_price_1,bid_size_1,ask_size_1,bid_price_2,ask_price_2,bid_size_2,ask_size_2,bid_price_3,ask_price_3,bid_size_3,ask_size_3,bid_price_4,ask_price_4,bid_size_4,ask_size_4,bid_price_5,ask_price_5,bid_size_5,ask_size_5,aggressor_side,trade_price,trade_size
2026-01-02T09:30:00+00:00,100.0,99.995,100.005,26.17,36.602,99.985,100.015,60.749,64.734,99.975,100.025,112.828,122.04,99.965,100.035,132.268,132.888,99.955,100.045,96.161,141.23,-1,99.995,14.855
2026-01-02T09:30:01+00:00,100.0,99.99,100.01,46.195,66.043,99.98,100.02,76.327,98.346,99.97,100.03,141.47,179.591,99.96,100.04,67.619,92.457,99.95,100.05,79.262,102.098,-1,99.99,24.749
2026-01-02T09:30:02+00:00,100.0,99.99,100.01,63.123,78.116,99.98,100.02,80.16,85.237,99.97,100.03,92.679,82.542,99.96,100.04,74.474,83.513,99.95,100.05,106.021,91.388,-1,99.99,6.517
2026-01-02T09:30:03+00:00,100.0,99.995,100.005,80.741,83.454,99.985,100.015,64.081,66.975,99.975,100.025,43.904,53.397,99.965,100.035,102.98,130.373,99.955,100.045,84.273,105.658,1,100.005,21.141
2026-01-02T09:30:04+00:00,100.01,100.0,100.02,61.526,84.021,99.99,100.03,79.498,105.191,99.98,100.04,67.317,90.417,99.97,100.05,39.514,51.695,99.96,100.06,68.625,75.627,1,100.02,33.602
2026-01-02T09:30:05+00:00,100.01,100.005,100.015,45.518,64.845,99.995,100.025,67.921,116.551,99.985,100.035,72.58,86.75,99.975,100.045,77.65,112.645,99.965,100.055,109.293,116.008,1,100.015,18.149
2026-01-02T09:30:06+00:00,100.01,100.005,100.015,75.97,68.487,99.995,100.025,47.612,62.932,99.985,100.035,51.24,57.294,99.975,100.045,45.686,66.409,99.965,100.055,155.69,215.395,-1,100.005,9.542
2026-01-02T09:30:07+00:00,100.01,100.005,100.015,38.739,67.771,99.995,100.025,80.351,127.902,99.985,100.035,36.681,69.938,99.975,100.045,85.954,116.75,99.965,100.055,102.151,155.541,1,100.015,11.036
2026-01-02T09:30:08+00:00,100.01,100.0,100.02,49.132,52.618,99.99,100.03,64.879,68.922,99.98,100.04,85.706,89.352,99.97,100.05,58.658,79.411,99.96,100.06,100.881,121.1,1,100.02,18.554
2026-01-02T09:30:09+00:00,100.01,100.005,100.015,97.882,99.151,99.995,100.025,51.936,62.837,99.985,100.035,68.537,102.569,99.975,100.045,53.214,76.761,99.965,100.055,82.999,97.674,1,100.015,35.663
2026-01-02T09:30:10+00:00,100.01,100.005,100.015,52.365,57.8,99.995,100.025,49.109,65.882,99.985,100.035,50.355,54.661,99.975,100.045,88.212,96.333,99.965,100.055,147.378,159.469,1,100.015,18.791
2026-01-02T09:30:11+00:00,100.02,100.015,100.025,173.723,137.642,100.005,100.035,53.487,65.299,99.995,100.045,102.305,89.172,99.985,100.055,55.7,77.706,99.975,100.065,65.499,69.073,-1,100.015,6.254
2026-01-02T09:30:12+00:00,100.02,100.015,100.025,46.506,72.322,100.005,100.035,40.395,60.175,99.995,100.045,111.137,166.19,99.985,100.055,107.966,134.007,99.975,100.065,71.281,111.767,1,100.025,18.684
2026-01-02T09:30:13+00:00,100.02,100.015,100.025,57.122,79.288,100.005,100.035,55.343,90.183,99.995,100.045,85.49,115.555,99.985,100.055,79.798,110.09,99.975,100.065,130.45,192.637,1,100.025,27.388
2026-01-02T09:30:14+00:00,100.02,100.01,100.03,60.753,75.344,100.0,100.04,60.191,81.669,99.99,100.05,87.244,149.142,99.98,100.06,89.954,107.314,99.97,100.07,52.869,80.831,1,100.03,26.446
2026-01-02T09:30:15+00:00,100.02,100.015,100.025,57.199,69.357,100.005,100.035,129.319,156.412,99.995,100.045,135.195,187.206,99.985,100.055,73.926,89.14,99.975,100.065,107.853,180.343,-1,100.015,17.094
2026-01-02T09:30:16+00:00,100.01,100.005,100.015,36.373,33.754,99.995,100.025,72.196,68.883,99.985,100.035,57.167,68.679,99.975,100.045,56.299,67.124,99.965,100.055,159.118,119.047,-1,100.005,17.109
2026-01-02T09:30:17+00:00,100.01,100.005,100.015,56.678,42.669,99.995,100.025,126.625,131.026,99.985,100.035,77.356,77.926,99.975,100.045,105.485,103.509,99.965,100.055,77.76,75.93,1,100.015,28.5
2026-01-02T09:30:18+00:00,100.01,100.0,100.02,41.687,54.561,99.99,100.03,90.258,122.36,99.98,100.04,113.935,127.395,99.97,100.05,183.054,170.745,99.96,100.06,154.998,191.996,-1,100.0,6.812
2026-01-02T09:30:19+00:00,100.01,100.005,100.015,65.556,87.986,99.995,100.025,29.368,53.929,99.985,100.035,63.561,90.479,99.975,100.045,90.36,117.227,99.965,100.055,95.582,140.753,-1,100.005,25.824
2026-01-02T09:30:20+00:00,100.01,100.005,100.015,55.754,56.345,99.995,100.025,33.212,42.521,99.985,100.035,60.578,75.874,99.975,100.045,94.464,137.84,99.965,100.055,98.94,120.59,-1,100.005,11.859
2026-01-02T09:30:21+00:00,100.02,100.015,100.025,70.663,147.223,100.005,100.035,41.179,64.474,99.995,100.045,38.121,53.399,99.985,100.055,51.594,91.314,99.975,100.065,87.28,156.381,1,100.025,34.0
2026-01-02T09:30:22+00:00,100.02,100.015,100.025,48.475,74.674,100.005,100.035,54.799,111.696,99.995,100.045,124.966,212.464,99.985,100.055,90.233,174.807,99.975,100.065,79.879,117.058,1,100.025,5.259
2026-01-02T09:30:23+00:00,100.01,100.005,100.015,57.258,123.534,99.995,100.025,43.729,85.297,99.985,100.035,69.358,151.326,99.975,100.045,45.332,114.062,99.965,100.055,93.535,146.806,-1,100.005,15.939
2026-01-02T09:30:24+00:00,100.01,100.005,100.015,37.167,70.025,99.995,100.025,57.488,112.559,99.985,100.035,60.618,77.916,99.975,100.045,47.416,90.153,99.965,100.055,130.158,192.109,1,100.015,3.22
2026-01-02T09:30:25+00:00,100.01,100.0,100.02,39.521,56.468,99.99,100.03,47.843,85.253,99.98,100.04,80.289,152.086,99.97,100.05,59.045,117.448,99.96,100.06,48.12,114.49,1,100.02,35.591
2026-01-02T09:30:26+00:00,100.0,99.995,100.005,71.973,122.774,99.985,100.015,47.372,67.995,99.975,100.025,68.49,153.34,99.965,100.035,27.41,44.992,99.955,100.045,57.691,100.229,-1,99.995,15.066
2026-01-02T09:30:27+00:00,100.0,99.995,100.005,61.281,106.227,99.985,100.015,76.787,101.079,99.975,100.025,51.237,84.145,99.965,100.035,41.484,77.711,99.955,100.045,86.638,133.388,-1,99.995,24.697
2026-01-02T09:30:28+00:00,100.0,99.995,100.005,42.724,83.471,99.985,100.015,54.241,102.339,99.975,100.025,45.805,75.032,99.965,100.035,67.954,80.652,99.955,100.045,51.643,77.872,1,100.005,49.329
2026-01-02T09:30:29+00:00,100.0,99.995,100.005,65.813,143.927,99.985,100.015,77.717,148.929,99.975,100.025,48.289,103.866,99.965,100.035,58.011,139.965,99.955,100.045,70.731,103.188,-1,99.995,22.145
2026-01-02T09:30:30+00:00,99.99,99.985,99.995,35.93,46.575,99.975,100.005,59.953,89.57,99.965,100.015,84.508,120.632,99.955,100.025,111.353,186.422,99.945,100.035,81.755,147.408,-1,99.985,13.113
2026-01-02T09:30:31+00:00,99.99,99.98,100.0,131.302,113.533,99.97,100.01,33.514,41.431,99.96,100.02,61.641,93.095,99.95,100.03,83.577,134.041,99.94,100.04,187.296,217.178,1,100.0,23.067
